문제,정답,해설
피해자의 승낙이 객관적으로 존재하는데도 불구하고 행위자가 이를 알지 못하고 행위한 경우에는 위법성조각사유의 전제사실의 착오가 되어 위법성이 조각되지 않는다.,X,주관적 정당화요소가 결여된 경우에 해당한다.
"개인적 법익을 훼손하는 경우에 ｢형법｣ 제24조의 피해자의 승낙에 의해 위법성이 조각되려면 그 승낙이 법률상 이를 처분할 수 있는 사람의 승낙이어야 할 뿐 아니라 윤리적, 도덕적으로 사회상규에 반하지 않아야 할 것이라는 요건도 충족되어야 한다.",O,2008도9606
의사의 진단상 과오로 인해 당연히 설명받았을 내용을 설명받지 못한 경우라도 피해자로부터 수술 승낙을 받은 이상 그 승낙은 수술의 위법성을 조각할 유효한 승낙이라고 볼 수 있다.,X,"산부인과 전문의 수련과정 2년차인 의사가 자신의 시진, 촉진결과 등을 과신한 나머지 초음파검사 등 피해자의 병증이 자궁외 임신인지, 자궁근종인지를 판별하기 위한 정밀한 진단방법을 실시하지 아니한 채 피해자의 병명을 자궁근종으로 오진하고 이에 근거하여 의학에 대한 전문지식이 없는 피해자에게 자궁적출술의 불가피성만을 강조하였을 뿐 위와 같은 진단상의 과오가 없었으면 당연히 설명받았을 자궁외 임신에 관한 내용을 설명받지 못한 피해자로부터 수술승낙을 받았다면 위 승낙은 부정확 또는 불충분한 설명을 근거로 이루어진 것으로서 수술의 위법성을 조각할 유효한 승낙이라고 볼 수 없다(92도2345)."
묵시적 승낙이 있는 경우에도 피해자의 승낙에 의해 위법성이 조각될 수 있다.,O,"같은 취지에서 원심이 채용 증거를 종합하여 피고인이 골프장에서 골프경기를 하던 중 피고인의 등 뒤 8m 정도 떨어져 있던 경기보조원을 골프공으로 맞혀 상해를 입힌 사실을 인정하여 과실치상죄를 인정하고, 피해자가 경기보조원으로서 통상 공이 날아가는 방향이 아닌 피고인 뒤쪽에서 경기를 보조하는 등 경기보조원으로서의 기본적인 주의의무를 마친 상태였고, 자신이 골프경기 도중 상해를 입으리라고 쉽게 예견하였을 것으로 보이지 않으므로, 피해자의 명시적 혹은 묵시적 승낙이 있었다고 보기 어렵다는 이유로 위법성이 조각된다는 피고인의 주장을 배척한 것은 사실심 법관의 합리적인 자유심증에 따른 것으로서 정당하고 거기에 상고이유로 주장하는 바와 같은 채증법칙 위반, 법리오해 등의 위법이 없다(2008도6940)."
｢형법｣ 제10조에 규정된 심신장애의 유무 및 정도에 관한 법원의 판단은 전문감정인의 의견에 기속된다.,X,"형법 제10조 제1항, 제2항에 규정된 심신장애의 유무 및 정도의 판단은 법률적 판단으로서 반드시 전문감정인의 의견에 기속되어야 하는 것은 아니고, 정신분열증의 종류와 정도, 범행의 동기, 경위, 수단과 태양, 범행 전후의 피고인의 행동, 반성의 정도 등 여러 사정을 종합하여 법원이 독자적으로 판단할 수 있다(98도3812)."
"사춘기 이전의 소아들을 상대로 한 성행위를 중심으로 성적 흥분을 강하게 일으키는 공상, 성적 충동, 성적 행동이 반복되어 나타나는 소아기호증과 같은 질환이 있다는 사정은 그 자체만으로 형의 감면사유인 심신장애에 해당한다.",X,
음주운전을 할 의사를 가지고 음주만취한 후 운전을 결행하여 교통사고를 일으켰다면 음주 시에 교통사고를 일으킬 위험성을 예견하였는데도 자의로 심신장애를 야기한 경우에 해당하므로 심신장애로 인한 감경 등을 할 수 없다.,O,
"대마초 흡연 시에 이미 범행을 예견하고 자의로 심신장애를 야기한 경우, 그로 인해 그 범행 시에 의사결정능력이 없거나 미약했다면 심신장애로 인한 감경 등을 할 수 있다.",X,
"반사회적 인격장애 혹은 기타 성격적 결함에 기하여 자신의 충동을 억제하지 못하여 범죄를 저지르는 경우, 특별한 사정이 없는 한 이와 같은 자에 대해서는 자신의 충동을 억제하고 법을 준수하도록 요구할 수 없다.",X,
양벌규정의 ‘법인의 대표자’는 그 명칭 여하를 불문하고 당해 법인을 실질적으로 경영하면서 사실상 대표하고 있는 자를 포함한다.,O,"96도1703, 2011도15056 등."
‘법인의 대표자나 법인 또는 개인의 대리인·사용인 기타의 종업원이 그 법인 또는 개인의 업무에 관하여 제○○조의 규정에 의한 위반행위를 한 때에는 행위자를 벌하는 외에 그 법인 또는 개인에 대하여도 해당 조문의 벌금형을 과한다’는 내용의 양벌규정은 법치국가의 원리 및 죄형법정주의로부터 도출되는 책임주의원칙에 반한다.,O,"""법인의 대표자"" 부분을 제외하고 모두 책임주의원칙에 반하므로 결국 해당 조문은 위헌이다(아래 헌법재판소 결정례 참조).
 ‘종업원’ 관련 부분은 법인이 고용한 종업원 등의 범죄행위에 관하여 비난할 근거가 되는 법인의 의사결정 및 행위구조, 즉 종업원 등이 저지른 행위의 결과에 대한 법인의 독자적인 책임에 관하여 전혀 규정하지 않은 채, 단순히 법인이 고용한 종업원 등이 업무에 관하여 범죄행위를 하였다는 이유만으로 법인에 대하여 형사처벌을 과하고 있는바, 이는 다른 사람의 범죄에 대하여 그 책임 유무를 묻지 않고 형벌을 부과함으로써 법치국가의 원리 및 죄형법정주의로부터 도출되는 책임주의원칙에 반한다.
 법인은 기관을 통하여 행위하므로 법인이 대표자를 선임한 이상 그의 행위로 인한 법률효과는 법인에게 귀속되어야 하고, 법인 대표자의 범죄행위에 대하여는 법인 자신이 자신의 행위에 대한 책임을 부담하여야 하는바, 법인 대표자의 법규위반행위에 대한 법인의 책임은 법인 자신의 법규위반행위로 평가될 수 있는 행위에 대한 법인의 직접책임으로서, 대표자의 고의에 의한 위반행위에 대하여는 법인 자신의 고의에 의한 책임을, 대표자의 과실에 의한 위반행위에 대하여는 법인 자신의 과실에 의한 책임을 부담하는 것이다. 따라서, 법인의 ‘대표자’ 관련 부분은 대표자의 책임을 요건으로 하여 법인을 처벌하므로 책임주의원칙에 반하지 아니한다(2009헌가25).
 이 사건 법률조항들은 개인이 고용한 종업원 등의 일정한 범죄행위 사실이 인정되면 종업원 등의 범죄행위에 대한 영업주의 가담여부나 종업원 등의 행위를 감독할 주의의무의 위반여부 등을 전혀 묻지 않고 곧바로 영업주인 개인을 종업원 등과 같이 처벌하도록 규정하고 있는바, 이는 아무런 비난받을 만한 행위를 한 바 없는 자에 대해서까지 다른 사람의 범죄행위를 이유로 처벌하는 것으로서 형벌에 관한 책임주의에 반하므로 헌법에 위반된다(2009헌가23)."
"법인 대표자의 법규위반행위에 대한 법인의 책임은 법인 자신의 법규위반행위로 평가될 수 있는 행위에 대한 법인의 직접책임으로서, 대표자의 고의에 의한 위반행위에 대하여는 법인 자신의 고의에 의한 책임을, 대표자의 과실에 의한 위반행위에 대하여는 법인 자신의 과실에 의한 책임을 부담한다.",O,"법인은 기관을 통하여 행위하므로 법인이 대표자를 선임한 이상 그의 행위로 인한 법률효과는 법인에게 귀속되어야 하고, 법인 대표자의 범죄행위에 대하여는 법인 자신이 자신의 행위에 대한 책임을 부담하여야 하는바, 법인 대표자의 법규위반행위에 대한 법인의 책임은 법인 자신의 법규위반행위로 평가될 수 있는 행위에 대한 법인의 직접책임으로서, 대표자의 고의에 의한 위반행위에 대하여는 법인 자신의 고의에 의한 책임을, 대표자의 과실에 의한 위반행위에 대하여는 법인 자신의 과실에 의한 책임을 부담하는 것이다(2009헌가25)."
